index,ObservationDate,Country/Region,Confirmed,Deaths,Recovered
35,01/22/2020,Japan,2.0,0.0,0.0
36,01/22/2020,Thailand,2.0,0.0,0.0
37,01/22/2020,South Korea,1.0,0.0,0.0
73,01/23/2020,Japan,1.0,0.0,0.0
74,01/23/2020,Thailand,3.0,0.0,0.0
75,01/23/2020,South Korea,1.0,0.0,0.0
76,01/23/2020,Singapore,1.0,0.0,0.0
77,01/23/2020,Philippines,0.0,0.0,0.0
78,01/23/2020,Malaysia,0.0,0.0,0.0
79,01/23/2020,Vietnam,2.0,0.0,0.0
80,01/23/2020,Australia,0.0,0.0,0.0
81,01/23/2020,Mexico,0.0,0.0,0.0
82,01/23/2020,Brazil,0.0,0.0,0.0
83,01/23/2020,Colombia,0.0,0.0,0.0
119,01/24/2020,Japan,2.0,0.0,0.0
120,01/24/2020,Thailand,5.0,0.0,0.0
121,01/24/2020,South Korea,2.0,0.0,0.0
122,01/24/2020,Singapore,3.0,0.0,0.0
123,01/24/2020,Vietnam,2.0,0.0,0.0
124,01/24/2020,France,2.0,0.0,0.0
160,01/25/2020,Japan,2.0,0.0,0.0
161,01/25/2020,Thailand,7.0,0.0,0.0
162,01/25/2020,South Korea,2.0,0.0,0.0
163,01/25/2020,Singapore,3.0,0.0,0.0
164,01/25/2020,Vietnam,2.0,0.0,0.0
165,01/25/2020,France,3.0,0.0,0.0
166,01/25/2020,Australia,4.0,0.0,0.0
167,01/25/2020,Nepal,1.0,0.0,0.0
168,01/25/2020,Malaysia,3.0,0.0,0.0
206,01/26/2020,Japan,4.0,0.0,1.0
207,01/26/2020,Thailand,8.0,0.0,2.0
208,01/26/2020,South Korea,3.0,0.0,0.0
209,01/26/2020,Singapore,4.0,0.0,0.0
210,01/26/2020,Vietnam,2.0,0.0,0.0
211,01/26/2020,France,3.0,0.0,0.0
212,01/26/2020,Australia,4.0,0.0,0.0
213,01/26/2020,Nepal,1.0,0.0,0.0
214,01/26/2020,Malaysia,4.0,0.0,0.0
253,01/27/2020,Japan,4.0,0.0,1.0
254,01/27/2020,Thailand,8.0,0.0,2.0
255,01/27/2020,South Korea,4.0,0.0,0.0
256,01/27/2020,Singapore,5.0,0.0,0.0
257,01/27/2020,Vietnam,2.0,0.0,0.0
258,01/27/2020,France,3.0,0.0,0.0
259,01/27/2020,Nepal,1.0,0.0,0.0
260,01/27/2020,Malaysia,4.0,0.0,0.0
262,01/27/2020,Cambodia,1.0,0.0,0.0
263,01/27/2020,Sri Lanka,1.0,0.0,0.0
264,01/27/2020,Ivory Coast,1.0,0.0,0.0
304,01/28/2020,Japan,7.0,0.0,1.0
305,01/28/2020,Thailand,14.0,0.0,5.0
306,01/28/2020,South Korea,4.0,0.0,0.0
307,01/28/2020,Singapore,7.0,0.0,0.0
308,01/28/2020,Vietnam,2.0,0.0,0.0
309,01/28/2020,France,4.0,0.0,0.0
310,01/28/2020,Nepal,1.0,0.0,0.0
311,01/28/2020,Malaysia,4.0,0.0,0.0
314,01/28/2020,Cambodia,1.0,0.0,0.0
315,01/28/2020,Sri Lanka,1.0,0.0,0.0
356,01/29/2020,Japan,7.0,0.0,1.0
357,01/29/2020,Thailand,14.0,0.0,5.0
358,01/29/2020,South Korea,4.0,0.0,0.0
359,01/29/2020,Singapore,7.0,0.0,0.0
360,01/29/2020,Vietnam,2.0,0.0,0.0
361,01/29/2020,France,5.0,0.0,0.0
362,01/29/2020,Nepal,1.0,0.0,0.0
363,01/29/2020,Malaysia,7.0,0.0,0.0
366,01/29/2020,Cambodia,1.0,0.0,0.0
367,01/29/2020,Sri Lanka,1.0,0.0,0.0
